longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,price_income_ratio
-122.27,37.83,49,1215,282.0,570,264,1.4861,97200,NEAR BAY,6.54060964941794
-122.27,37.83,48,1798,432.0,987,374,1.0972,104500,NEAR BAY,9.524243528982865
-122.28,37.83,52,1511,390.0,901,403,1.4103,103900,NEAR BAY,7.367226831170672
-122.26,37.83,52,1470,330.0,689,309,3.48,191400,NEAR BAY,5.5
-122.26,37.83,52,2432,715.0,1377,696,2.5898,176000,NEAR BAY,6.7958915746389685
-122.26,37.83,52,1665,419.0,946,395,2.0978,155400,NEAR BAY,7.407760511011536
-122.26,37.83,51,936,311.0,517,249,1.2852,150000,NEAR BAY,11.671335200746967
-122.26,37.84,49,713,202.0,462,189,1.025,118800,NEAR BAY,11.590243902439024
-122.26,37.84,52,950,202.0,467,198,3.9643,188800,NEAR BAY,4.762505360341044
-122.26,37.83,52,1443,311.0,660,292,3.0125,184400,NEAR BAY,6.121161825726141
-122.26,37.83,52,1656,420.0,718,382,2.6768,182300,NEAR BAY,6.810370591751345
-122.26,37.83,50,1125,322.0,616,304,2.026,142500,NEAR BAY,7.033563672260613
-122.27,37.82,43,1007,312.0,558,253,1.7348,137500,NEAR BAY,7.925985704403966
-122.26,37.82,40,624,195.0,423,160,0.9506,187500,NEAR BAY,19.724384599200505
-122.27,37.82,40,946,375.0,700,352,1.775,112500,NEAR BAY,6.338028169014085
-122.27,37.82,21,896,453.0,735,438,0.9218,171900,NEAR BAY,18.64829681058798
-122.27,37.82,43,1868,456.0,1061,407,1.5045,93800,NEAR BAY,6.234629444998339
-122.27,37.82,41,3221,853.0,1959,720,1.1108,97500,NEAR BAY,8.777457688152683
-122.27,37.82,52,1630,456.0,1162,400,1.2475,104200,NEAR BAY,8.352705410821644
-122.28,37.82,52,1170,235.0,701,233,1.6098,87500,NEAR BAY,5.4354578208473106
-122.28,37.82,52,945,243.0,576,220,1.4113,83100,NEAR BAY,5.8881881952809465
-122.28,37.82,52,1238,288.0,622,259,1.5057,87500,NEAR BAY,5.8112505811250585
-122.28,37.82,52,1489,335.0,728,244,0.8172,85300,NEAR BAY,10.438081253059227
-122.28,37.82,52,1387,341.0,1074,304,1.2171,80300,NEAR BAY,6.597650152000657
-122.29,37.82,2,158,43.0,94,57,2.5625,60000,NEAR BAY,2.341463414634146
-122.29,37.83,52,1121,211.0,554,187,3.3929,75700,NEAR BAY,2.2311297120457425
-122.29,37.82,49,135,29.0,86,23,6.1183,75000,NEAR BAY,1.2258307046074892
-122.29,37.81,50,760,190.0,377,122,0.9011,86100,NEAR BAY,9.554988347575186
-122.3,37.81,52,1224,237.0,521,159,1.191,76100,NEAR BAY,6.389588581024349
-122.3,37.81,48,828,182.0,392,133,2.5938,73500,NEAR BAY,2.833680314596345
-122.3,37.81,52,1010,209.0,604,187,1.1667,78400,NEAR BAY,6.719808005485557
-122.3,37.81,48,1455,354.0,788,332,0.8056,84400,NEAR BAY,10.476663356504469
-122.29,37.8,52,1027,244.0,492,147,2.6094,81300,NEAR BAY,3.1156587721315243
-122.3,37.81,52,572,109.0,274,82,1.8516,85000,NEAR BAY,4.5906243249081875
-122.29,37.81,46,2801,644.0,1823,611,0.9802,129200,NEAR BAY,13.18098347276066
-122.29,37.81,26,768,152.0,392,127,1.7719,82500,NEAR BAY,4.656018962695412
-122.29,37.81,46,935,297.0,582,277,0.7286,95200,NEAR BAY,13.06615426846006
-122.29,37.81,49,844,204.0,560,152,1.75,75000,NEAR BAY,4.285714285714286
-122.29,37.81,46,12,4.0,18,7,0.4999,67500,NEAR BAY,13.502700540108021
-122.29,37.81,20,835,161.0,290,133,2.483,137500,NEAR BAY,5.53765606121627
-122.28,37.81,17,1237,462.0,762,439,0.9241,177500,NEAR BAY,19.207877935288387
-122.28,37.81,36,2914,562.0,1236,509,2.4464,102100,NEAR BAY,4.173479398299542
-122.28,37.81,19,1207,243.0,721,207,1.1111,108300,NEAR BAY,9.74709747097471
-122.29,37.81,23,1745,374.0,1054,325,0.8026,112500,NEAR BAY,14.016944928980813
-122.28,37.8,38,684,176.0,344,155,2.0114,131300,NEAR BAY,6.527791587948692
-122.28,37.81,17,924,289.0,609,289,1.5,162500,NEAR BAY,10.833333333333334
-122.27,37.81,52,210,56.0,183,56,1.1667,112500,NEAR BAY,9.642581640524556
-122.28,37.81,52,340,97.0,200,87,1.5208,112500,NEAR BAY,7.397422409258285
-122.28,37.81,52,386,164.0,346,155,0.8075,137500,NEAR BAY,17.027863777089784
-122.28,37.81,35,948,184.0,467,169,1.8088,118800,NEAR BAY,6.567890314020345
-122.28,37.81,52,773,143.0,377,115,2.4083,98200,NEAR BAY,4.077565087406054
-122.27,37.81,40,880,451.0,582,380,0.977,118800,NEAR BAY,12.159672466734904
-122.27,37.81,10,875,348.0,546,330,0.76,162500,NEAR BAY,21.38157894736842
-122.27,37.8,10,105,42.0,125,39,0.9722,137500,NEAR BAY,14.143180415552356
-122.27,37.8,52,249,78.0,396,85,1.2434,500001,NEAR BAY,40.212401479813416
-122.27,37.8,16,994,392.0,800,362,2.0938,162500,NEAR BAY,7.761008692329735
-122.28,37.8,52,215,87.0,904,88,0.8668,137500,NEAR BAY,15.862944162436548
-122.28,37.8,52,96,31.0,191,34,0.75,162500,NEAR BAY,21.666666666666668
-122.27,37.79,27,1055,347.0,718,302,2.6354,187500,NEAR BAY,7.114669499886165
-122.27,37.8,39,1715,623.0,1327,467,1.8477,179200,NEAR BAY,9.698544135952806
-122.26,37.8,36,5329,2477.0,3469,2323,2.0096,130000,NEAR BAY,6.468949044585988
-122.26,37.82,31,4596,1331.0,2048,1180,2.8345,183800,NEAR BAY,6.48438878109014
-122.26,37.81,29,335,107.0,202,91,2.0062,125000,NEAR BAY,6.230684876881666
-122.26,37.82,22,3682,1270.0,2024,1250,1.2185,170000,NEAR BAY,13.951579811243333
-122.26,37.82,37,3633,1085.0,1838,980,2.6104,193100,NEAR BAY,7.397333741955256
-122.25,37.81,29,4656,1414.0,2304,1250,2.4912,257800,NEAR BAY,10.348426461143225
-122.25,37.81,28,5806,1603.0,2563,1497,3.2177,273400,NEAR BAY,8.49675233862697
-122.25,37.81,39,854,242.0,389,228,3.125,237500,NEAR BAY,7.6
-122.25,37.81,52,2155,701.0,895,613,2.5795,350000,NEAR BAY,13.568521031207599
-122.26,37.81,34,5871,1914.0,2689,1789,2.8406,335700,NEAR BAY,11.817925790325988
-122.24,37.82,52,1509,225.0,674,244,4.9306,313400,NEAR BAY,6.356224394597007
-122.24,37.81,52,2026,482.0,709,456,3.2727,268500,NEAR BAY,8.20423503529196
-122.25,37.81,52,1758,460.0,686,422,3.1691,259400,NEAR BAY,8.185289198826165
-122.24,37.82,52,3481,751.0,1444,718,3.9,275700,NEAR BAY,7.069230769230769
-122.25,37.82,28,3337,855.0,1520,802,3.9063,225000,NEAR BAY,5.759926272943706
-122.25,37.82,52,1424,289.0,550,253,5.0917,262500,NEAR BAY,5.155449064163246
-122.25,37.82,32,3809,1098.0,1806,1022,2.6429,218500,NEAR BAY,8.267433501078362
-122.25,37.82,26,3959,1196.0,1749,1217,3.0233,255000,NEAR BAY,8.434492111269144
-122.25,37.83,52,2376,559.0,939,519,3.1484,224100,NEAR BAY,7.1179011561428025
-122.25,37.83,35,1613,428.0,675,422,3.4722,243100,NEAR BAY,7.001324808478774
-122.25,37.83,52,1279,287.0,534,291,3.1429,231600,NEAR BAY,7.36899042285787
-122.25,37.83,28,5022,1750.0,2558,1661,2.4234,218500,NEAR BAY,9.016258149707022
-122.25,37.83,52,4190,1105.0,1786,1037,3.0897,234100,NEAR BAY,7.576787390361524
-122.23,37.84,50,2515,399.0,970,373,5.8596,327600,NEAR BAY,5.590825312308008
-122.23,37.84,47,3175,454.0,1098,485,5.2868,347600,NEAR BAY,6.574865703260951
-122.24,37.83,41,2576,406.0,794,376,5.956,366100,NEAR BAY,6.1467427803895225
-122.24,37.85,37,334,54.0,98,47,4.9643,335000,NEAR BAY,6.748182019620088
-122.23,37.85,52,2800,411.0,1061,403,6.3434,373600,NEAR BAY,5.889586026421163
-122.24,37.84,52,3529,574.0,1177,555,5.1773,389500,NEAR BAY,7.523226392134896
-122.24,37.85,52,2612,365.0,901,367,7.2354,391100,NEAR BAY,5.405368051524449
-122.22,37.85,28,5287,1048.0,2031,956,5.457,337300,NEAR BAY,6.181051859996335
-122.22,37.84,50,2935,473.0,1031,479,7.5,295200,NEAR BAY,3.936
-122.21,37.84,44,3424,597.0,1358,597,6.0194,292300,NEAR BAY,4.855965710868193
-122.21,37.83,40,4991,674.0,1616,654,7.5544,411500,NEAR BAY,5.4471566239542515
-122.2,37.84,30,2211,346.0,844,343,6.0666,311500,NEAR BAY,5.134671809580325
-122.21,37.84,34,3038,490.0,1140,496,7.0548,325900,NEAR BAY,4.6195498100584
-122.19,37.84,18,1617,210.0,533,194,11.6017,392600,NEAR BAY,3.383986829516364
-122.2,37.84,35,2865,460.0,1072,443,7.4882,319300,NEAR BAY,4.264042092892818
-122.21,37.83,34,5065,788.0,1627,766,6.8976,333300,NEAR BAY,4.832115518441197
-122.19,37.83,28,1326,184.0,463,190,8.2049,335200,NEAR BAY,4.085363624175797
-122.2,37.83,26,1589,223.0,542,211,8.401,351200,NEAR BAY,4.180454707772884
-122.19,37.83,29,1791,271.0,661,269,6.8538,368900,NEAR BAY,5.382415594268873
-122.19,37.82,32,1835,264.0,635,263,8.317,365900,NEAR BAY,4.399422868822893
-122.2,37.82,37,1229,181.0,420,176,7.0175,366700,NEAR BAY,5.225507659422871
-122.2,37.82,39,3770,534.0,1265,500,6.3302,362800,NEAR BAY,5.73125651638179
-122.18,37.81,30,292,38.0,126,52,6.3624,483300,NEAR BAY,7.596190116937005
-122.21,37.82,52,2375,333.0,813,350,7.0549,331400,NEAR BAY,4.697444329473132
-122.2,37.81,45,2964,436.0,1067,426,6.7851,323500,NEAR BAY,4.767800032423988
-122.21,37.8,50,2833,605.0,1260,552,2.8929,216700,NEAR BAY,7.490753223409036
-122.21,37.8,38,2254,535.0,951,487,3.0812,233100,NEAR BAY,7.565234324289238
-122.21,37.81,52,1389,212.0,510,224,5.2402,296400,NEAR BAY,5.656272661348804
-122.22,37.81,52,1971,335.0,765,308,6.5217,273700,NEAR BAY,4.196758513884417
-122.22,37.8,52,2183,465.0,1129,460,3.2632,227700,NEAR BAY,6.977813189507232
-122.22,37.8,52,2286,464.0,1073,441,3.0298,199600,NEAR BAY,6.587893590335995
-122.22,37.8,52,2721,541.0,1185,515,4.5428,239800,NEAR BAY,5.278682750726424
-122.22,37.81,52,2024,339.0,756,340,4.072,270100,NEAR BAY,6.633104125736739
-122.22,37.81,52,2944,536.0,1034,521,5.3509,302100,NEAR BAY,5.645779214711544
-122.23,37.8,52,2033,486.0,787,459,3.1603,269500,NEAR BAY,8.527671423599026
-122.23,37.81,52,1433,229.0,612,213,4.7708,314700,NEAR BAY,6.5963779659595865
-122.22,37.81,52,2927,402.0,1021,380,8.1564,390100,NEAR BAY,4.782747290471287
-122.23,37.81,52,2315,292.0,861,258,8.8793,410300,NEAR BAY,4.620859752457964
-122.24,37.81,52,2485,313.0,953,327,6.8591,352400,NEAR BAY,5.137700281378024
-122.24,37.81,52,1490,238.0,634,256,6.0302,287300,NEAR BAY,4.764352757785812
-122.23,37.81,52,2814,365.0,878,352,7.508,348700,NEAR BAY,4.644379328716036
-122.24,37.81,52,2093,550.0,918,483,2.7477,243800,NEAR BAY,8.872875495869273
-122.24,37.8,52,888,168.0,360,175,2.1944,211500,NEAR BAY,9.638169886985052
-122.25,37.8,52,2087,510.0,1197,488,3.0149,218400,NEAR BAY,7.244021360575807
-122.24,37.81,52,2513,502.0,1048,518,3.675,269900,NEAR BAY,7.34421768707483
-122.25,37.81,46,3232,835.0,1373,747,3.225,218800,NEAR BAY,6.7844961240310075
-122.25,37.8,42,4120,1065.0,1715,1015,2.9345,225000,NEAR BAY,7.667405009371273
-122.25,37.8,43,2364,792.0,1359,722,2.1429,250000,NEAR BAY,11.666433337999907
-122.25,37.8,41,1471,469.0,1062,413,1.6121,171400,NEAR BAY,10.632094783202035
-122.25,37.8,29,2468,864.0,1335,773,1.3929,193800,NEAR BAY,13.913418048675425
-122.24,37.79,27,1632,492.0,1171,429,2.3173,125000,NEAR BAY,5.394208777456523
-122.25,37.79,45,1786,526.0,1475,460,1.7772,97500,NEAR BAY,5.4861580013504385
-122.25,37.79,50,629,188.0,742,196,2.6458,125000,NEAR BAY,4.724468969687807
-122.25,37.79,52,1339,391.0,1086,363,2.181,138800,NEAR BAY,6.364053186611646
-122.25,37.8,36,1678,606.0,1645,543,2.2303,116700,NEAR BAY,5.232479935434695
-122.25,37.8,43,2344,647.0,1710,644,1.6504,151800,NEAR BAY,9.197770237518178
-122.24,37.8,52,996,228.0,731,228,2.2697,127000,NEAR BAY,5.5954531435872585
-122.24,37.8,52,1591,373.0,1118,347,2.1563,128600,NEAR BAY,5.963919677224876
-122.24,37.8,52,1586,398.0,1006,335,2.1348,140600,NEAR BAY,6.586097058272439
-122.24,37.8,47,2046,588.0,1213,554,2.6292,182700,NEAR BAY,6.94888178913738
-122.23,37.8,52,1192,289.0,772,257,2.3833,146900,NEAR BAY,6.163722569546426
-122.24,37.8,52,1803,420.0,1321,401,2.957,122800,NEAR BAY,4.15285762597227
-122.24,37.8,49,2838,749.0,1487,677,2.5238,169300,NEAR BAY,6.708138521277439
-122.23,37.8,52,783,184.0,488,186,1.9375,126600,NEAR BAY,6.534193548387097
-122.23,37.8,51,1590,414.0,949,392,1.9028,127900,NEAR BAY,6.721673323523229
-122.23,37.8,50,1746,480.0,1149,415,2.25,123500,NEAR BAY,5.488888888888889
-122.23,37.8,52,1252,299.0,844,280,2.3929,111900,NEAR BAY,4.676334155209161
-122.23,37.79,43,5963,1344.0,4367,1231,2.1917,112800,NEAR BAY,5.146689784185792
-122.23,37.79,52,1783,395.0,1659,412,2.9357,107900,NEAR BAY,3.675443676124944
-122.23,37.79,30,999,264.0,1011,263,1.8854,137500,NEAR BAY,7.292882147024504
-122.24,37.79,39,1469,431.0,1464,389,2.1638,105500,NEAR BAY,4.8756816711341155
-122.24,37.79,47,1372,395.0,1237,303,2.125,95500,NEAR BAY,4.4941176470588236
-122.24,37.79,52,674,180.0,647,168,3.375,116100,NEAR BAY,3.44
-122.24,37.79,43,1626,376.0,1284,357,2.2542,112200,NEAR BAY,4.97737556561086
-122.25,37.79,51,175,43.0,228,55,2.1,75000,NEAR BAY,3.5714285714285716
-122.25,37.79,39,461,129.0,381,123,1.6,112500,NEAR BAY,7.03125
-122.25,37.79,52,902,237.0,846,227,3.625,125000,NEAR BAY,3.4482758620689653
-122.26,37.8,20,2373,779.0,1659,676,1.6929,115000,NEAR BAY,6.793076968515565
-122.22,37.77,52,391,128.0,520,138,1.6471,95000,NEAR BAY,5.767712950033392
-122.22,37.77,52,1137,301.0,866,259,2.59,96400,NEAR BAY,3.722007722007722
-122.23,37.77,52,769,206.0,612,183,2.57,72000,NEAR BAY,2.801556420233463
-122.23,37.78,52,472,146.0,415,126,2.6429,71300,NEAR BAY,2.6977940898255706
-122.23,37.78,52,862,215.0,994,213,3.0257,80800,NEAR BAY,2.6704564233070034
-122.22,37.78,50,1920,530.0,1525,477,1.4886,128800,NEAR BAY,8.65242509740696
-122.23,37.78,43,1420,472.0,1506,438,1.9338,112500,NEAR BAY,5.817561278312132
-122.23,37.78,52,986,258.0,1008,255,1.4844,119400,NEAR BAY,8.043654001616815
-122.23,37.78,44,2340,825.0,2813,751,1.6009,118100,NEAR BAY,7.3771003810356675
-122.23,37.79,48,1696,396.0,1481,343,2.0375,122500,NEAR BAY,6.012269938650307
-122.23,37.79,49,1175,217.0,859,219,2.293,106300,NEAR BAY,4.635848233754906
-122.22,37.79,37,2343,574.0,1608,523,2.1494,132500,NEAR BAY,6.16451102633293
-122.23,37.79,30,610,145.0,425,140,1.6198,122700,NEAR BAY,7.57500926040252
-122.23,37.79,40,930,199.0,564,184,1.3281,113300,NEAR BAY,8.53098411264212
-122.22,37.79,44,1487,314.0,961,272,3.5156,109500,NEAR BAY,3.114688815564911
-122.22,37.79,52,3424,690.0,2273,685,3.9048,164700,NEAR BAY,4.217885679164105
-122.21,37.79,52,762,190.0,600,195,3.0893,125000,NEAR BAY,4.046224063703752
-122.22,37.79,46,2366,575.0,1647,527,2.6042,124700,NEAR BAY,4.788418708240535
-122.22,37.79,49,1826,450.0,1201,424,2.5,136700,NEAR BAY,5.468
-122.22,37.79,38,3049,711.0,2167,659,2.7969,141700,NEAR BAY,5.066323429511245
-122.2,37.79,29,1640,376.0,939,340,2.8321,150000,NEAR BAY,5.29642314890011
-122.21,37.79,47,1543,307.0,859,292,2.9583,138800,NEAR BAY,4.6918838522124195
-122.21,37.79,34,2364,557.0,1517,516,2.8365,139200,NEAR BAY,4.9074563722897935
-122.21,37.79,35,1745,409.0,1143,386,2.875,143800,NEAR BAY,5.001739130434783
-122.21,37.8,39,2003,500.0,1109,464,3.0682,156500,NEAR BAY,5.100710514308063
-122.21,37.8,39,2018,447.0,1221,446,3.0757,151000,NEAR BAY,4.9094515069740225
-122.2,37.8,43,3045,499.0,1115,455,4.9559,273000,NEAR BAY,5.508585726104239
-122.2,37.8,52,1547,293.0,706,268,4.7721,217100,NEAR BAY,4.549359820624044
-122.21,37.8,52,3519,711.0,1883,706,3.4861,187100,NEAR BAY,5.367029058259947
-122.2,37.8,41,2070,354.0,804,340,5.1184,239600,NEAR BAY,4.68115035948734
-122.21,37.8,48,1321,263.0,506,252,4.0977,229700,NEAR BAY,5.605583620079557
-122.19,37.8,48,1694,259.0,610,238,4.744,257300,NEAR BAY,5.4236930860033725
-122.19,37.8,46,1938,341.0,768,332,4.2727,246900,NEAR BAY,5.778547522643761
-122.19,37.79,50,968,195.0,462,184,2.9844,179900,NEAR BAY,6.0280123307867575
-122.2,37.79,40,1060,256.0,667,235,4.1739,169600,NEAR BAY,4.063346031289681
-122.2,37.8,46,2041,405.0,1059,399,3.8487,203300,NEAR BAY,5.282303115337647
-122.19,37.8,52,1813,271.0,637,277,4.0114,263400,NEAR BAY,6.5662860846587225
-122.19,37.79,45,2718,451.0,1106,454,4.6563,231800,NEAR BAY,4.978201576358911
-122.19,37.79,28,3144,761.0,1737,669,2.9297,140500,NEAR BAY,4.795712871625081
-122.2,37.79,35,1802,459.0,1009,390,2.3036,126000,NEAR BAY,5.469699600625108
-122.2,37.79,49,882,195.0,737,210,2.6667,122000,NEAR BAY,4.574942813214835
-122.2,37.79,44,1621,452.0,1354,491,2.619,134700,NEAR BAY,5.1431844215349365
-122.21,37.79,45,2115,533.0,1530,474,2.4167,139400,NEAR BAY,5.768196300740679
-122.2,37.79,45,2021,528.0,1410,480,2.7788,115400,NEAR BAY,4.152871743198503
-122.21,37.78,46,2239,508.0,1390,569,2.7352,137300,NEAR BAY,5.019742614799649
-122.21,37.78,52,1477,300.0,1065,269,1.8472,137000,NEAR BAY,7.41663057600693
-122.21,37.78,52,1056,224.0,792,245,2.6583,142600,NEAR BAY,5.3643305872173945
-122.21,37.78,49,898,244.0,779,245,3.0536,137500,NEAR BAY,4.502881844380403
-122.22,37.78,44,2968,710.0,2269,610,2.3906,111700,NEAR BAY,4.6724671630553
-122.21,37.78,43,1702,460.0,1227,407,1.7188,126800,NEAR BAY,7.37723993483826
-122.21,37.78,47,881,248.0,753,241,2.625,111300,NEAR BAY,4.24
-122.22,37.77,40,494,114.0,547,135,2.8015,114800,NEAR BAY,4.09780474745672
-122.22,37.78,50,1776,473.0,1807,440,1.7276,102300,NEAR BAY,5.921509608705719
-122.22,37.78,44,1678,514.0,1700,495,2.0801,131900,NEAR BAY,6.341041296091534
-122.22,37.78,51,1637,463.0,1543,393,2.489,119100,NEAR BAY,4.78505423865006
-122.21,37.76,52,1420,314.0,1085,300,1.7546,80600,NEAR BAY,4.593639575971731
-122.21,37.77,52,591,173.0,353,137,4.0904,80600,NEAR BAY,1.9704674359475847
-122.21,37.77,52,745,153.0,473,149,2.6765,88800,NEAR BAY,3.317765738838035
-122.2,37.77,49,2272,498.0,1621,483,2.4338,102400,NEAR BAY,4.207412277097542
-122.21,37.77,46,1234,375.0,1183,354,2.3309,98700,NEAR BAY,4.234415890857608
-122.21,37.77,43,1017,328.0,836,277,2.2604,100000,NEAR BAY,4.4239957529640765
-122.19,37.77,42,932,254.0,900,263,1.8039,92300,NEAR BAY,5.116691612617108
-122.2,37.77,39,2689,597.0,1888,537,2.2562,94800,NEAR BAY,4.20175516354933
-122.2,37.77,41,1547,415.0,1024,341,2.0562,102000,NEAR BAY,4.960606944849723
-122.2,37.78,52,2300,443.0,1225,423,3.5398,158400,NEAR BAY,4.474829086389062
-122.2,37.78,39,1752,399.0,1071,376,3.1167,121600,NEAR BAY,3.901562550133154
-122.2,37.78,50,1867,403.0,1128,378,2.5401,129100,NEAR BAY,5.0824770678319755
-122.2,37.77,43,2430,502.0,1537,484,2.898,121400,NEAR BAY,4.189095928226363
-122.21,37.78,44,1729,414.0,1240,393,2.3125,102800,NEAR BAY,4.445405405405405
-122.19,37.78,52,1026,180.0,469,168,2.875,160000,NEAR BAY,5.565217391304348
-122.19,37.77,52,2170,428.0,1086,425,3.3715,143900,NEAR BAY,4.268129912501854
-122.19,37.77,52,2329,445.0,1144,417,3.5114,151200,NEAR BAY,4.305974824856182
-122.19,37.78,52,2492,415.0,1109,375,4.3125,164400,NEAR BAY,3.812173913043478
-122.19,37.78,52,2198,397.0,984,369,3.22,156500,NEAR BAY,4.8602484472049685
-122.18,37.78,33,142,31.0,575,47,3.875,225000,NEAR BAY,5.806451612903226
-122.19,37.78,49,1183,205.0,496,209,5.2328,174200,NEAR BAY,3.329001681700046
-122.19,37.78,52,1070,193.0,555,190,3.7262,166900,NEAR BAY,4.4790939831463685
-122.2,37.78,45,1766,332.0,869,327,4.5893,163500,NEAR BAY,3.5626348244830366
-122.18,37.79,39,617,95.0,236,106,5.2578,253000,NEAR BAY,4.811898512685915
-122.18,37.79,41,1411,233.0,626,214,7.0875,240700,NEAR BAY,3.396119929453263
-122.18,37.79,46,2109,387.0,922,329,3.9712,208100,NEAR BAY,5.240229653505238
-122.19,37.79,47,1229,243.0,582,256,2.9514,198100,NEAR BAY,6.712068848681981
-122.19,37.79,50,954,217.0,546,201,2.6667,172800,NEAR BAY,6.479919001012488
-122.18,37.81,37,1643,262.0,620,266,5.4446,336700,NEAR BAY,6.184109025456416
-122.18,37.8,34,1355,195.0,442,195,6.2838,318200,NEAR BAY,5.063814889079856
-122.18,37.8,23,2317,336.0,955,328,6.7527,285800,NEAR BAY,4.232381121625424
-122.13,37.77,24,2459,317.0,916,324,7.0712,293000,NEAR BAY,4.143568276954406
-122.16,37.79,22,12842,2048.0,4985,1967,5.9849,371000,NEAR BAY,6.198933983859379
-122.17,37.78,42,1524,260.0,651,267,3.6875,157300,NEAR BAY,4.265762711864407
-122.17,37.77,30,3326,746.0,1704,703,2.875,135300,NEAR BAY,4.706086956521739
-122.18,37.78,43,1985,440.0,1085,407,3.4205,136700,NEAR BAY,3.996491740973542
-122.18,37.78,50,1642,322.0,713,284,3.2984,160700,NEAR BAY,4.872059180208586
-122.17,37.78,49,893,177.0,468,181,3.875,140600,NEAR BAY,3.6283870967741936
-122.17,37.78,52,653,128.0,296,121,4.175,144000,NEAR BAY,3.4491017964071857
-122.16,37.77,47,1256,,570,218,4.375,161900,NEAR BAY,3.7005714285714286
-122.16,37.77,48,977,194.0,446,180,4.7708,156300,NEAR BAY,3.2761800955814535
-122.16,37.77,45,2324,397.0,968,384,3.5739,176000,NEAR BAY,4.924592182209911
-122.16,37.77,39,1583,349.0,857,316,3.0958,145800,NEAR BAY,4.709606563731507
-122.17,37.77,39,1612,342.0,912,322,3.3958,141900,NEAR BAY,4.178691324577419
-122.17,37.77,31,2424,533.0,1360,452,1.871,90700,NEAR BAY,4.847675040085516
-122.17,37.76,41,1594,367.0,1074,355,1.9356,90600,NEAR BAY,4.680719156850589
-122.17,37.76,47,2118,413.0,965,382,2.1842,107900,NEAR BAY,4.94002380734365
-122.18,37.76,37,1575,358.0,933,320,2.2917,107000,NEAR BAY,4.669022996029149
-122.17,37.76,38,1764,397.0,987,354,2.4333,98200,NEAR BAY,4.035671721530432
