longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,CLUSTER_ID,city,group
-118.45,34.06,20,3367,1264.0,2667,1131,2.2444,500000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.06,46,1302,215.0,482,226,7.0674,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.06,9,5102,1695.0,2609,1450,3.2545,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.05,18,4780,1192.0,1886,1036,4.4674,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.05,32,1880,435.0,798,417,4.7109,500000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.05,15,5368,1312.0,2269,1232,5.7097,316700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.06,11,3184,641.0,911,463,7.2675,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.06,41,1463,267.0,601,267,5.3777,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.05,22,4251,1073.0,1581,881,5.2555,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.06,13,4833,1119.0,1649,807,6.2389,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.06,40,2933,565.0,1077,536,6.1527,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.06,31,1317,284.0,523,274,7.4219,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.06,38,2982,664.0,1122,572,4.190800000000001,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.06,20,4600,1018.0,1675,932,5.1999,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.06,44,533,90.0,291,97,10.8045,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.06,52,1881,334.0,640,321,6.871,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.05,38,4888,1126.0,1698,937,4.8304,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.05,52,1693,290.0,727,305,6.7115,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.05,24,3832,949.0,1613,893,3.9673,477300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.05,20,5943,1538.0,2492,1429,4.1141,305000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.05,22,3970,871.0,1588,791,4.8618,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.04,52,2425,435.0,962,412,5.8587,494700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.05,28,801,399.0,936,406,2.1875,181300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.04,22,3319,1045.0,1848,940,3.6673,283300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.04,23,3771,1321.0,2031,1241,2.7679,277500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.05,25,6902,2138.0,3136,1844,2.6509,410000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.05,23,4099,1287.0,2103,1217,3.7549,275000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.04,19,3522,1036.0,1820,977,3.2663,337500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.04,21,5041,1491.0,2719,1420,3.5335,268800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.04,19,3330,1010.0,1837,915,3.0173,393800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.04,25,2142,718.0,1390,699,3.0069,325000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.04,25,2768,850.0,1558,784,3.6976,360000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.04,17,2729,897.0,1404,758,3.1235,420800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.04,31,2621,707.0,1632,673,3.287,348100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.04,21,2819,648.0,1435,593,3.9489,360200,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.03,45,727,168.0,520,175,2.6528,300000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.03,39,1657,402.0,931,363,3.7813,336300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.04,49,32,7.0,14,7,2.1875,225000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.04,16,18,6.0,3,4,0.536,350000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.04,31,2670,662.0,1535,631,3.0714,347800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.04,52,1782,308.0,735,307,5.2954,485100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.04,46,1508,276.0,639,273,4.925,409800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.04,42,2725,569.0,1115,516,4.5833,427500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.05,16,9728,2211.0,3026,1899,5.8758,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.05,33,2921,652.0,1124,608,5.0151,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.05,52,2533,402.0,981,386,7.8164,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.05,26,4473,923.0,1518,805,5.0762,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.04,40,2079,268.0,720,282,9.272,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.04,42,1298,174.0,420,190,12.8483,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.03,36,1831,296.0,871,269,8.148400000000002,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.03,33,1730,386.0,994,363,3.7277,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.04,49,601,95.0,228,106,8.0239,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.05,34,2113,459.0,859,432,3.6953,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.04,52,1907,261.0,681,249,10.9805,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.04,52,2113,332.0,800,327,11.1768,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.03,36,3053,635.0,1234,577,5.1637,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.04,51,1975,348.0,771,357,6.626,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.04,52,1358,272.0,574,267,5.6454,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.04,43,3863,537.0,1398,511,8.5938,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.05,43,1028,145.0,394,149,10.4519,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.03,24,1101,318.0,491,287,3.2222,319400,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.03,43,1006,201.0,520,199,6.5669,372800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.03,26,4376,1394.0,2435,1250,2.8418,327300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.02,19,7297,2331.0,3870,2144,3.116,300000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.02,27,515,201.0,397,228,2.4135,184400,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.03,24,3711,1192.0,1764,1147,3.1642,366700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.02,24,2610,756.0,1322,692,3.5022,281300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.02,16,5825,1866.0,3390,1752,3.0965,320000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.03,13,6152,1978.0,3397,1845,3.4058,275000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.03,45,1262,223.0,637,221,5.0866,427300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.03,45,1740,311.0,788,306,5.2099,373600,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.03,39,1733,429.0,855,387,3.2308,340800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.03,26,1706,516.0,894,435,3.1875,372700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.03,44,904,176.0,358,158,3.3542,344200,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.03,25,2059,659.0,1349,588,3.2396,352400,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.03,36,1552,388.0,867,352,3.6467,346700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.03,37,1193,205.0,488,224,3.625,357600,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.03,37,975,189.0,489,202,4.243400000000001,331000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.03,30,1039,303.0,606,274,3.125,343800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.03,41,1240,320.0,711,304,3.3482,318100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.03,41,2083,528.0,993,481,4.023100000000001,353900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.03,41,1164,265.0,561,251,4.241100000000001,350900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.02,37,1592,308.0,783,321,6.2583,386000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.01,43,1408,246.0,651,240,4.5795,400000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.01,41,1309,221.0,534,228,5.1708,418800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.01,37,1328,250.0,626,228,5.8666,440100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.01,40,1361,240.0,559,229,6.3516,354300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.01,36,2424,418.0,1123,417,6.4755,405800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.02,32,2242,490.0,921,461,4.042900000000001,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.01,43,1487,242.0,675,247,5.3403,489800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.02,39,3278,632.0,1321,617,6.2917,465700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.02,38,2172,437.0,830,368,3.9091,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.02,42,1528,244.0,634,242,8.1631,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.02,41,2403,516.0,1001,514,4.3906,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.03,44,629,131.0,326,156,4.5278,374300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.03,20,4374,1311.0,2165,1185,3.6019,463600,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.02,21,3244,815.0,1423,781,3.6488,340800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.02,34,2243,444.0,973,413,4.9676,414100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.02,28,3167,737.0,1248,665,3.1941,394700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.02,34,2995,942.0,2626,947,2.2402,450000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.02,34,1430,357.0,805,362,3.3462,307000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.02,22,3292,1134.0,1655,898,3.1746,348800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.02,26,2664,842.0,1745,789,3.4269,301900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.02,35,1728,442.0,1161,420,3.725,310000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.02,19,4702,1472.0,2636,1334,3.3955,225000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.02,27,2224,618.0,1594,625,3.0833,315500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.01,33,2731,535.0,1280,510,4.7083,420100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.01,32,1300,356.0,703,311,3.5667,394000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.01,27,3133,1021.0,2242,1002,2.697,412500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.01,41,1527,279.0,746,285,6.4232,446600,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.01,31,2526,528.0,1046,504,4.7009,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.01,42,2061,396.0,907,393,6.0804,420000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.0,44,1462,338.0,821,341,2.599,362200,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.0,44,1798,353.0,835,314,4.75,355800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.0,39,1909,359.0,867,345,4.7,334700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.0,40,1287,346.0,806,311,3.875,321300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.0,30,2148,597.0,1341,559,3.3995,324000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.0,22,5822,1707.0,3335,1585,3.1579,243100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.0,41,1562,377.0,874,368,4.1083,324300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.01,42,1594,369.0,952,362,3.099,335400,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.01,29,1996,489.0,960,449,3.6611,344200,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.0,31,1930,456.0,1002,410,3.9798,458600,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,34.0,28,6128,1963.0,3586,1815,2.7058,310900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.01,43,513,98.0,266,103,5.6428,343100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.0,39,4098,1100.0,2054,1053,2.918,345600,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.0,37,388,83.0,248,84,5.1664,326700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.0,36,1392,260.0,679,247,4.7344,346900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.01,39,711,148.0,347,153,4.2813,297200,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.0,38,1235,390.0,891,376,2.7143,287500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.0,41,2331,636.0,1839,537,2.288,263500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.0,39,614,174.0,538,159,2.3542,235700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,33.99,34,1875,501.0,1491,526,2.8417,321400,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.0,37,2586,765.0,1801,737,2.6042,305800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,33.99,31,1312,376.0,1178,330,2.0714,300000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,33.99,41,1146,310.0,833,270,2.5938,285000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,33.99,33,854,235.0,645,198,2.1471,239300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.51,33.98,40,1901,679.0,865,587,2.3417,425000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.48,33.99,46,2219,686.0,1107,590,2.5523,387500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,33.99,50,1568,501.0,764,478,3.015,414300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,33.99,52,1523,447.0,636,408,3.0682,412500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,33.99,52,2167,622.0,1095,570,2.8514,358700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,33.99,37,2155,721.0,1082,637,3.4071,267500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,33.99,24,1438,454.0,665,416,2.975,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,33.99,52,1010,244.0,573,242,4.1861,363200,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,33.99,52,1158,253.0,528,253,3.5234,334700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,33.99,44,1122,287.0,531,256,4.0598,335900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.0,44,941,230.0,493,206,3.6458,325800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.0,52,888,206.0,376,194,3.875,372000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.0,46,1777,362.0,896,334,4.45,348300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.0,43,1606,408.0,862,354,3.962,345800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,34.0,48,1923,408.0,1142,433,4.575,326700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,33.99,33,3125,785.0,1720,713,2.9722,325000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,33.99,52,1829,472.0,779,424,3.1607,339000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,33.99,41,885,285.0,562,268,3.1992,303800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,33.99,37,1828,460.0,1075,453,4.337,360600,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,33.98,32,2388,591.0,1009,556,5.2121,466700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,33.99,35,1214,300.0,478,265,4.0156,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,33.98,27,2217,520.0,806,458,3.8935,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,33.99,45,1132,269.0,654,264,4.5673,343100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.45,33.99,26,1919,405.0,953,371,6.0672,420800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,33.98,19,2520,726.0,964,663,3.8068,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,34.0,10,1526,339.0,705,268,5.8083,321800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.0,35,684,161.0,381,159,2.8393,272000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.0,30,3550,934.0,3738,880,3.191,271200,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.0,18,1307,441.0,884,456,2.9338,276300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,34.0,14,3771,1180.0,2355,978,3.1603,287500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,33.99,35,1701,482.0,1428,494,3.725,284600,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,33.99,35,2243,495.0,1135,465,4.3281,324000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,33.98,19,8324,1590.0,2927,1538,7.5426,351700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,33.99,45,1899,461.0,1260,415,2.6667,320000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,33.99,43,2483,548.0,1212,493,4.018900000000001,302900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,33.99,23,5548,1245.0,2847,1229,4.4228,366900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,33.98,3,475,155.0,236,153,3.6667,450000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.43,33.99,42,2558,558.0,1328,541,4.875,301300,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,33.99,43,1432,308.0,782,303,4.333300000000001,303900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,33.99,39,3014,822.0,3212,777,1.1985,215000,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,33.99,38,740,171.0,599,194,4.0893,248900,<1H OCEAN,4,Santa Monica,Ultra-High
-118.42,33.99,35,1724,419.0,1079,394,4.5521,263800,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,34.0,35,1062,305.0,1026,307,2.7153,265500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,33.99,36,1089,234.0,632,215,3.6538,276100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,33.99,39,1613,380.0,1113,356,2.825,276700,<1H OCEAN,4,Santa Monica,Ultra-High
-118.41,33.98,33,3331,777.0,1695,735,3.9727,307200,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,33.98,39,714,118.0,314,117,5.9856,432100,<1H OCEAN,4,Santa Monica,Ultra-High
-118.4,33.98,36,2526,452.0,996,441,5.611,456600,<1H OCEAN,4,Santa Monica,Ultra-High
-118.25,33.8,36,1697,394.0,1274,396,3.35,163100,<1H OCEAN,4,Long Beach,Affordable
-118.25,33.79,32,1205,340.0,1799,370,2.375,128000,NEAR OCEAN,4,Long Beach,Affordable
-118.24,33.8,28,636,169.0,788,143,3.6161,131300,NEAR OCEAN,4,Long Beach,Affordable
-118.23,33.8,26,239,135.0,165,112,1.3333,187500,NEAR OCEAN,4,Long Beach,Affordable
-118.25,33.79,34,1349,371.0,1716,380,2.7143,138100,NEAR OCEAN,4,Long Beach,Affordable
-118.25,33.79,38,1730,460.0,1724,424,2.7308,150400,NEAR OCEAN,4,Long Beach,Affordable
-118.25,33.79,39,981,286.0,1183,298,1.9208,139800,NEAR OCEAN,4,Long Beach,Affordable
-118.23,33.78,20,59,24.0,69,23,2.5588,350000,NEAR OCEAN,4,Long Beach,Affordable
-118.25,33.78,32,296,139.0,511,133,1.4444,182100,NEAR OCEAN,4,Long Beach,Affordable
-118.24,33.78,24,574,173.0,784,162,2.25,152300,NEAR OCEAN,4,Long Beach,Affordable
-118.26,33.77,36,886,253.0,809,219,2.4545,164200,NEAR OCEAN,4,San Pedro,Affordable
-118.27,33.77,26,2272,694.0,2567,595,1.9964,150600,NEAR OCEAN,4,San Pedro,Affordable
-118.27,33.77,39,1731,485.0,2115,478,1.5369,141300,NEAR OCEAN,4,San Pedro,Affordable
-118.27,33.76,46,22,11.0,32,7,3.125,112500,NEAR OCEAN,4,San Pedro,Affordable
-118.3,33.77,18,3821,795.0,2831,769,2.9571,346200,<1H OCEAN,4,San Pedro,Affordable
-118.3,33.76,18,9659,1716.0,4336,1674,5.7764,290500,<1H OCEAN,4,San Pedro,Affordable
-118.28,33.77,47,307,69.0,374,65,2.9063,146900,<1H OCEAN,4,San Pedro,Affordable
-118.28,33.75,41,1305,381.0,1384,369,2.45,186800,NEAR OCEAN,4,San Pedro,Affordable
-118.28,33.75,18,393,189.0,429,188,1.8393,187500,NEAR OCEAN,4,San Pedro,Affordable
-118.28,33.74,40,1751,512.0,1939,503,1.5394,200000,NEAR OCEAN,4,San Pedro,Affordable
-118.28,33.75,21,2442,719.0,1916,646,1.2276,208300,NEAR OCEAN,4,San Pedro,Affordable
-118.28,33.74,16,855,271.0,486,250,0.7591,350000,NEAR OCEAN,4,San Pedro,Affordable
-118.3,33.75,19,2356,440.0,1291,418,4.230800000000001,416100,<1H OCEAN,4,San Pedro,Affordable
-118.3,33.76,6,6097,1270.0,2678,1226,5.1269,285200,<1H OCEAN,4,San Pedro,Affordable
-118.3,33.75,42,967,175.0,481,163,5.6611,265600,<1H OCEAN,4,San Pedro,Affordable
-118.3,33.75,48,1958,386.0,1098,380,4.625,273400,<1H OCEAN,4,San Pedro,Affordable
-118.3,33.74,47,2223,410.0,1163,413,4.467100000000001,270800,NEAR OCEAN,4,San Pedro,Affordable
-118.31,33.74,36,2464,472.0,1111,457,4.5074,350000,NEAR OCEAN,4,San Pedro,Affordable
-118.31,33.74,22,5042,974.0,2260,935,4.3472,351200,NEAR OCEAN,4,San Pedro,Affordable
-118.29,33.75,27,1650,443.0,1359,386,2.5795,192400,NEAR OCEAN,4,San Pedro,Affordable
-118.3,33.75,23,1957,517.0,1454,526,3.5056,203100,<1H OCEAN,4,San Pedro,Affordable
-118.29,33.75,37,1319,292.0,766,285,2.7031,218900,NEAR OCEAN,4,San Pedro,Affordable
-118.29,33.74,29,1503,411.0,1368,390,2.1473,195300,NEAR OCEAN,4,San Pedro,Affordable
-118.29,33.74,52,1438,472.0,1018,399,2.2188,306700,NEAR OCEAN,4,San Pedro,Affordable
-118.29,33.74,41,1382,361.0,905,344,2.75,238300,NEAR OCEAN,4,San Pedro,Affordable
-118.29,33.74,30,2074,533.0,1311,531,2.0329,225800,NEAR OCEAN,4,San Pedro,Affordable
-118.29,33.73,43,1854,519.0,1151,486,2.5759,225000,NEAR OCEAN,4,San Pedro,Affordable
